date,value
1979-01-01,2577517.5
1980-01-01,2783240.75
1981-01-01,2977514
1982-01-01,3194943.25
1983-01-01,3434470
1984-01-01,3711716.25
1985-01-01,4049091.5
1986-01-01,4411368.5
1987-01-01,4796401.5
1988-01-01,5236381.5
1989-01-01,5563448.5
1990-01-01,5851508
1991-01-01,6200813.5
1992-01-01,6703614
1993-01-01,7418662
1994-01-01,8222817.5
1995-01-01,9086238
1996-01-01,10025209
1997-01-01,11010464
1998-01-01,12159789
1999-01-01,13342564
2000-01-01,14586433
2001-01-01,16002954
2002-01-01,17620104
2003-01-01,19592794
2004-01-01,21840018
2005-01-01,24356182
2006-01-01,27190004
2007-01-01,30325914
2008-01-01,33799556
2009-01-01,38334244
2010-01-01,43438692
2011-01-01,48872912
2012-01-01,54674592
2013-01-01,60943980
2014-01-01,67590072
